,Date,Unreg_Inflow,Live_Storage,Scenario,Name
522,Sep-24,43000,112000,max,Morrow Point
523,Oct-24,42000,112000,max,Morrow Point
524,Nov-24,33000,112000,max,Morrow Point
525,Dec-24,28000,112000,max,Morrow Point
526,Jan-25,26000,112000,max,Morrow Point
527,Feb-25,25000,112000,max,Morrow Point
528,Mar-25,43000,112000,max,Morrow Point
529,Apr-25,105000,112000,max,Morrow Point
530,May-25,274000,112000,max,Morrow Point
531,Jun-25,358000,112000,max,Morrow Point
532,Jul-25,147000,112000,max,Morrow Point
533,Aug-25,71000,112000,max,Morrow Point
534,Sep-25,43000,112000,max,Morrow Point
535,Oct-25,42000,112000,max,Morrow Point
536,Nov-25,34000,112000,max,Morrow Point
537,Dec-25,27000,112000,max,Morrow Point
538,Jan-26,26000,112000,max,Morrow Point
539,Feb-26,25000,112000,max,Morrow Point
540,Mar-26,40000,112000,max,Morrow Point
541,Apr-23,7000,61000,most,Taylor Park
542,May-23,39000,80000,most,Taylor Park
543,Jun-23,50000,102000,most,Taylor Park
544,Jul-23,22000,99000,most,Taylor Park
545,Aug-23,9000,87000,most,Taylor Park
546,Sep-23,6000,77000,most,Taylor Park
547,Oct-23,6000,77000,most,Taylor Park
548,Nov-23,5000,75000,most,Taylor Park
549,Dec-23,5000,74000,most,Taylor Park
550,Jan-24,5000,72000,most,Taylor Park
551,Feb-24,4000,71000,most,Taylor Park
552,Mar-24,5000,69000,most,Taylor Park
553,Apr-24,6000,62000,most,Taylor Park
554,May-24,14000,63000,most,Taylor Park
555,Jun-24,24000,68000,most,Taylor Park
556,Jul-24,24000,71000,most,Taylor Park
557,Aug-24,20000,69000,most,Taylor Park
558,Sep-24,18000,67000,most,Taylor Park
559,Oct-24,9000,67000,most,Taylor Park
560,Nov-24,5000,65000,most,Taylor Park
561,Dec-24,5000,66000,most,Taylor Park
562,Jan-25,5000,66000,most,Taylor Park
563,Feb-25,5000,67000,most,Taylor Park
564,Mar-25,5000,64000,most,Taylor Park
565,Apr-25,9000,64000,most,Taylor Park
566,May-25,15000,68000,most,Taylor Park
567,Jun-25,18000,69000,most,Taylor Park
568,Jul-25,24000,75000,most,Taylor Park
569,Aug-25,18000,73000,most,Taylor Park
570,Sep-25,18000,69000,most,Taylor Park
571,Oct-25,9000,69000,most,Taylor Park
572,Nov-25,5000,67000,most,Taylor Park
573,Dec-25,5000,67000,most,Taylor Park
574,Jan-26,5000,68000,most,Taylor Park
575,Feb-26,5000,68000,most,Taylor Park
576,Mar-26,5000,66000,most,Taylor Park
577,Apr-23,7000,61000,min,Taylor Park
578,May-23,39000,80000,min,Taylor Park
579,Jun-23,50000,102000,min,Taylor Park
580,Jul-23,22000,99000,min,Taylor Park
581,Aug-23,9000,87000,min,Taylor Park
582,Sep-23,6000,77000,min,Taylor Park
583,Oct-23,6000,77000,min,Taylor Park
584,Nov-23,5000,75000,min,Taylor Park
585,Dec-23,5000,74000,min,Taylor Park
586,Jan-24,5000,72000,min,Taylor Park
587,Feb-24,4000,71000,min,Taylor Park
588,Mar-24,5000,69000,min,Taylor Park
589,Apr-24,7000,70000,min,Taylor Park
590,May-24,23000,81000,min,Taylor Park
591,Jun-24,35000,98000,min,Taylor Park
592,Jul-24,15000,92000,min,Taylor Park
593,Aug-24,8000,82000,min,Taylor Park
594,Sep-24,7000,74000,min,Taylor Park
